OBJECTID,PREFIX,NAME,TYPE,SUFFIX,POLICENAME,POLICETYPE,Date_Added,Editor,Method,FULLPOLNAME,CarteID,CrossStreetA,CrossStreetB,Date_Changed,FULL_NAME,LF_Addr,LT_Addr,RF_Addr,RT_Addr,MATERIAL,OWNER,FUNCTIONALCLASSIFICATION,JURISDICTION,ROUTESYSTEM,ROUTENUMBER,SpeedLimit,Scenic,RowWidth,AcceptDate,GlobalID,created_user,created_date,last_edited_user,last_edited_date,MUNILEFT,MUNIRIGHT,ZIPLEFT,ZIPRIGHT,STATELEFT,STATERIGHT,OneWay
456, ,VILLAGE PARK,RD, ,VILLAGE PARK,RD,,,,VILLAGE PARK RD,,, ,,VILLAGE PARK RD,0,0,0,0,1,2,0,H,,,,,,,{41F7F388-3B89-495A-ADF3-41EBCECC0F91},,,OLKINM,2014/03/10 16:03:55+00,AMHERST,AMHERST,01002,01002,MA,MA,
457,N,PLEASANT,ST, ,NORTH PLEASANT,ST,,,,NORTH PLEASANT ST,00301,GOVERNORS DR & EASTMAN LN,THATCHER RD,,N PLEASANT ST,600,748,595,691,1,8,5,2,,,25,,Variable,1758/04/15 00:00:00+00,{B54B8CBF-5A5B-4809-8A5D-A7BB2B1619C9},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
458, ,HOLDSWORTH,WAY, ,HOLDSWORTH,WAY,,,,HOLDSWORTH WAY,,N SERVICE DR,GOVERNORS DR & FORESTRY WAY & COMMONWEALTH AVE,,HOLDSWORTH WAY,162,256,175,299,1,4,0,B,,,,,,,{004DFBEF-B88C-471F-889E-02DCD07EFE06},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
459, ,GOVERNORS,DR, ,GOVERNORS,DR,,,,GOVERNORS DR,,FORESTRY WAY,HOLDSWORTH WAY & FORESTRY WAY & COMMONWEALTH AVE,2005/03/31 00:00:00+00,GOVERNORS DR,0,0,0,0,1,4,5,B,,,,,,,{EFBB449B-E778-4EF8-9A61-0661AB8D827E},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
461, ,HALL,DR, ,HALL,DR,,,,HALL DR,,PORTER DR,END,,HALL DR,1,99,2,100,1,2,0,H,,,,,,,{9F0F32AA-6E60-4759-9C24-05C94C92A7AE},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
462, ,KESTREL,LN, ,KESTREL,LN,,,,KESTREL LN,00046,HOP BROOK RD,END,,KESTREL LN,28,56,35,55,1,2,0,0,,,,,,,{E8891CAD-D8C3-4A93-BEF0-BC6519C70CE5},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
463, ,KESTREL,LN, ,KESTREL,LN,,,,KESTREL LN,00046,OLD FARM RD,HOP BROOK RD,,KESTREL LN,16,20,7,27,1,2,0,0,,,,,,,{42807503-3B7A-4FF0-823B-6913A61314DE},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
464,S,PLEASANT,ST, ,SOUTH PLEASANT,ST,,,,SOUTH PLEASANT ST,00398,JEFFREY LN,WEST ST & E HADLEY RD,,S PLEASANT ST,522,634,503,657,1,8,3,2,SR,116,,,Variable,,{F683753A-8E4C-4D0E-9E9C-B2D1E115E849},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
465, ,STANLEY,ST, ,STANLEY,ST,,,,STANLEY ST,00144,S EAST ST,WILLOW LN,,STANLEY ST,48,58,49,57,1,8,0,2,,,,,49.5',,{4175ACF6-6278-4613-A82A-0AAB21B92EAF},,,olkinm,2013/07/29 18:28:30+00,AMHERST,AMHERST,01002,01002,MA,MA,
466,S,PLEASANT,ST, ,SOUTH PLEASANT,ST,,,,SOUTH PLEASANT ST,00397,AMHERST GOLF COURSE,MEMORIAL DR,,S PLEASANT ST,0,0,365,433,1,8,3,2,SR,116,,,Variable,,{1AC66D87-C2F1-4235-980A-C7C8D42D8D6A},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
467, ,STONY HILL,RD, ,STONY HILL,RD,,,,STONY HILL RD,00084,BEDFORD CT,FLINTLOCK LN,,STONY HILL RD,72,78,97,157,1,1,0,2,,,,,60',,{0D6CAECE-F72A-4AC0-8DEA-F7B24A6DE733},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
468, ,STANLEY,ST, ,STANLEY,ST,,,,STANLEY ST,00144,WILLOW LN,TAMARACK DR,,STANLEY ST,0,0,137,153,1,8,0,2,,,,,49.5',,{CF9B3AD6-9624-445B-B13D-38861F7782B1},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
469, ,MEMORIAL,DR, ,MEMORIAL,DR,,,,MEMORIAL DR,00261,S PLEASANT ST,END,,MEMORIAL DR,16,90,21,83,1,1,0,2,,,,,40',,{AF173A2F-20DF-4EDB-974B-20D39A60E00A},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
470,S,PLEASANT,ST, ,SOUTH PLEASANT,ST,,,,SOUTH PLEASANT ST,00397,MEMORIAL DR,HILLCREST PL,,S PLEASANT ST,444,466,451,459,1,8,3,2,SR,116,,,Variable,,{50F73015-7F5A-4371-9CC9-3626D818B795},,,,,AMHERST,AMHERST,01002,01002,MA,MA,
